activity_new,channel_sales,cons_12m,cons_gas_12m,cons_last_month,forecast_base_bill_ele,forecast_base_bill_year,forecast_bill_12m,forecast_cons,forecast_cons_12m,forecast_cons_year,forecast_discount_energy,forecast_meter_rent_12m,forecast_price_energy_p1,forecast_price_energy_p2,forecast_price_pow_p1,has_gas,imp_cons,margin_gross_pow_ele,margin_net_pow_ele,nb_prod_act,net_margin,num_years_antig,origin_up,pow_max,price_p1_var_mean,price_p1_var_std,price_p1_var_min,price_p1_var_max,price_p2_var_mean,price_p2_var_std,price_p2_var_min,price_p2_var_max,price_p3_var_mean,price_p3_var_std,price_p3_var_min,price_p3_var_max,price_p1_fix_mean,price_p1_fix_std,price_p1_fix_min,price_p1_fix_max,price_p2_fix_mean,price_p2_fix_std,price_p2_fix_min,price_p2_fix_max,price_p3_fix_mean,price_p3_fix_std,price_p3_fix_min,price_p3_fix_max,price_p1_var_change,price_p2_var_change,price_p3_var_change,price_p1_fix_change,price_p2_fix_change,price_p3_fix_change,price_energy_peak_offpeak_spread,price_p1_var_max_monthly_move,tenure_years,months_to_end,months_to_renewal,months_since_modif,lifespan_years,cons_per_product,recent_cons_ratio,net_margin_per_cons,is_dual_fuel,has_forecast_bill,churn
other,lmkebamcaaclubfxadlmueccxoimlema,309275.0,0.0,10025.0,,,,,26520.3,10025.0,0.0,359.29,0.095919,0.088347,58.99595196,0.0,831.8,-41.76,-41.76,1,1732.36,3,ldkssxwpmemidmecebumciepifcamkci,180.0,0.10344866666666667,0.0032584940563320794,0.098091,0.106043,0.09211491666666666,0.0016912182515105615,0.089625,0.093474,0.06724116666666666,0.0004740045710046795,0.065736,0.067378,58.95650151,0.0683267118696135,58.93677408,59.17346796,36.3568872,0.04213663930823213,36.344721,36.490689,8.33705084,0.009661757413036045,8.33426016,8.36773104,-0.007952,-0.003849000000000005,-0.0016419999999999907,0.23669388000000424,0.14596272,0.0334708800000012,0.011333750000000017,0.005794999999999995,3.1485284052019167,10.183968462549277,-1.7411300919842312,37.779237844940866,3.1485284052019167,309275.0,0.3889742138873171,0.005601358014711825,0,0,0
missing,foosdfpfkusacimwkcsosbicdxkicaua,0.0,54946.0,0.0,,,,,0.0,0.0,0.0,1.78,0.114481,0.098142,40.606701,1.0,0.0,25.44,25.44,2,678.99,3,lxidpiddsbxsbosboudacockeimpuepw,43.648,0.12285563636363638,0.004263866444266929,0.117479,0.125976,0.10213718181818181,0.001865161002068291,0.099794,0.103963,0.07257863636363636,0.0011979953482987543,0.071536,0.073873,40.64002325454545,0.08507864395088102,40.56596939999999,40.728885,24.384011247272724,0.051048857519035415,24.33957804,24.43733004,16.256007643636362,0.03403396435952663,16.22638296,16.29155496,-0.008497000000000005,-0.003601000000000007,0.0022829999999999934,0.16291560000000516,0.09774935999999812,0.06516623999999993,0.020718454545454568,0.008161000000000002,2.546201232032854,5.45335085413929,-6.307490144546649,,2.546201232032854,0.0,,,1,0,1
missing,,4660.0,0.0,0.0,,,,,189.95,0.0,0.0,16.27,0.1457109999999999,0.0,44.31137796,0.0,0.0,16.38,16.38,1,18.89,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.8,0.149934,0.001997296472735081,0.146905,0.151367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.31541574181818,0.0830407151827315,44.26692996,44.44470996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0037669999999999926,0.0,0.0,0.17777879999999868,0.0,0.0,0.149934,0.004461999999999994,6.362765229295003,7.9500657030223385,-4.040735873850197,76.34691195795006,6.362765229295003,4660.0,0.0,0.004053648068669528,0,0,0
missing,foosdfpfkusacimwkcsosbicdxkicaua,544.0,0.0,0.0,,,,,47.96,0.0,0.0,38.72,0.165794,0.087899,44.31137796,0.0,0.0,28.6,28.6,1,6.6,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.856,0.17051166666666664,0.0023955054632044596,0.167798,0.172468,0.08842125,0.0005058172729715418,0.087881,0.089162,0.0,0.0,0.0,0.0,44.38545035999999,0.08753223022606474,44.26693116,44.44470996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0046700000000000075,0.0005280000000000007,0.0,0.17777879999999868,0.0,0.0,0.08209041666666664,0.004627999999999993,5.711156741957564,3.4822601839684624,-8.508541392904073,68.52825229960578,5.711156741957564,544.0,0.0,0.012132352941176469,0,0,0
missing,lmkebamcaaclubfxadlmueccxoimlema,1584.0,0.0,0.0,,,,,240.04,0.0,0.0,19.83,0.146694,0.0,44.31137796,0.0,0.0,30.22,30.22,1,25.46,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.2,0.15121008333333333,0.0023166127882333055,0.148586,0.153133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.40026526,0.08040348753813052,44.26693116,44.44470996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0045469999999999955,0.0,0.0,0.17777879999999868,0.0,0.0,0.15121008333333333,0.004461999999999994,5.757700205338809,2.923784494086728,-9.067017082785808,69.08672798948751,5.757700205338809,1584.0,0.0,0.016073232323232323,0,0,0
sfisfxfcocfpcmckuekokxuseixdaoeu,foosdfpfkusacimwkcsosbicdxkicaua,121335.0,0.0,12400.0,1399.83,1399.83,14559.74,1052.37,10865.02,12400.0,0.0,170.74,0.1100829999999999,0.093746,40.606701,0.0,1052.37,-3.18,-3.18,1,823.18,6,lxidpiddsbxsbosboudacockeimpuepw,75.0,0.11844758333333327,0.004804997936965422,0.113068,0.1230859999999999,0.09813391666666664,0.002455434953446334,0.095385,0.100505,0.06916816666666666,0.00038628953656630295,0.068646,0.069463,40.6745798,0.08021409643117337,40.56596939999999,40.728885,24.404746919999997,0.04812845785870219,24.33958068,24.43733004,16.26983288,0.03208563857246768,16.22638872,16.29155496,-0.010017999999999902,-0.0051199999999999996,0.0007629999999999998,0.16291560000000516,0.09774935999999812,0.06516623999999993,0.020313666666666633,0.008160999999999904,5.73305954825462,3.219448094612352,-8.672798948751643,68.79106438896189,5.73305954825462,121335.0,1.2263567808134503,0.006784357357728602,0,1,0
missing,,4425.0,0.0,526.0,,,,,445.75,526.0,0.0,131.73,0.1169,0.1000149999999999,40.606701,0.0,52.32,44.91,44.91,1,47.98,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,19.8,0.12417433333333333,0.0038471505708967896,0.119906,0.128067,0.10363816666666666,0.0018848027547312264,0.101673,0.105842,0.07286525,0.0015880949779817715,0.070232,0.073773,40.68815609999999,0.07368135241304521,40.56596939999999,40.728885,24.4128927,0.04420881144782419,24.33958068,24.43733004,16.2752634,0.029472540965216162,16.22638872,16.29155496,-0.006191999999999989,-0.0023019999999999985,0.003487000000000004,0.16291560000000516,0.09774935999999812,0.06516623999999993,0.020536166666666675,0.008160999999999988,5.965776865160849,2.1681997371879107,-9.789750328515112,71.58344283837056,5.965776865160849,4425.0,1.4264406779661016,0.010842937853107344,0,0,0
missing,usilxuppasemubllopkaafesmlibmsdf,8302.0,0.0,1998.0,290.1,290.1,1412.54,181.21,796.94,1998.0,0.0,30.12,0.164775,0.086131,45.30837756,0.0,181.21,33.12,33.12,1,118.89,4,lxidpiddsbxsbosboudacockeimpuepw,13.2,0.16895291666666667,0.003635928053551962,0.163659,0.171746,0.08763249999999993,0.001858207714194177,0.084587,0.0888149999999999,0.0,0.0,0.0,0.0,44.26693046,6.179143800823807e-07,44.26692996,44.26693116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00808700000000001,-0.0042279999999998985,0.0,-1.1999999998124622e-06,0.0,0.0,0.08132041666666674,0.004628000000000021,4.0629705681040384,11.268068331143231,-0.7227332457293035,2.0039421813403417,4.0629705681040384,8302.0,2.887978800289087,0.014320645627559624,0,1,1
other,foosdfpfkusacimwkcsosbicdxkicaua,45097.0,0.0,0.0,,,,,8069.28,0.0,0.0,0.0,0.166178,0.087538,44.31137796,0.0,0.0,4.04,4.04,1,346.63,4,lxidpiddsbxsbosboudacockeimpuepw,15.0,0.1660606666666666,0.00238308979471971,0.1633609999999999,0.167989,0.08474424999999995,0.00038774127386001294,0.0843049999999999,0.085058,0.0,0.0,0.0,0.0,44.26692996,0.0,44.26692996,44.26692996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004628000000000104,-0.0007530000000001008,0.0,0.0,0.0,0.0,0.08131641666666665,0.004628000000000104,4.082135523613963,11.038107752956636,-0.9526938239159001,48.98160315374507,4.082135523613963,45097.0,0.0,0.007686320597822471,0,0,1
missing,foosdfpfkusacimwkcsosbicdxkicaua,29552.0,0.0,1260.0,248.79,248.79,2720.29,70.63,864.73,751.0,0.0,144.49,0.115174,0.098837,40.606701,0.0,70.63,53.92,53.92,1,100.09,6,lxidpiddsbxsbosboudacockeimpuepw,26.4,0.12281558333333333,0.004098869055956616,0.118175,0.126336,0.10250124999999997,0.0018434475175604763,0.100491,0.1046599999999999,0.07353616666666667,0.0014773892103260632,0.071536,0.07457,40.6745798,0.08021409643117337,40.56596939999999,40.728885,24.404746919999997,0.04812845785870219,24.33958068,24.43733004,16.26983288,0.03208563857246768,16.22638872,16.29155496,-0.007801000000000002,-0.002904000000000004,0.0029799999999999965,0.16291560000000516,0.09774935999999812,0.06516623999999993,0.02031433333333335,0.008161000000000002,5.6974674880219025,3.6465177398160313,-8.344283837056505,68.36399474375821,5.6974674880219025,29552.0,0.5116404981050352,0.0033869112073632917,0,1,0
