scenario,a_churn,a_stay,breakeven_p,threshold,offered,expected_retained_churners,churn_rate_after,uplift_vs_no_action,blanket_vs_no_action,uplift_vs_blanket,family
0.05,0.05,0.05,0.2,0.21,1268,26.4,0.0975,3212.9548,-11249.1444,14462.0992,symmetric
0.1,0.1,0.1,0.2,0.21,1268,52.8,0.0959,6425.9096,-22498.2888,28924.1984,symmetric
0.15,0.15,0.15,0.2,0.21,1268,79.2,0.0942,9638.8644,-33747.4332,43386.2976,symmetric
0.2,0.2,0.2,0.2,0.21,1268,105.6,0.0926,12851.8192,-44996.5776,57848.3968,symmetric
0.25,0.25,0.25,0.2,0.21,1268,132.0,0.091,16064.774,-56245.722,72310.496,symmetric
0.3,0.3,0.3,0.2,0.21,1268,158.4,0.0893,19277.7288,-67494.8664,86772.5952,symmetric
0.35,0.35,0.35,0.2,0.21,1268,184.8,0.0877,22490.6836,-78744.0108,101234.6944,symmetric
0.4,0.4,0.4,0.2,0.21,1268,211.2,0.086,25703.6384,-89993.1552,115696.7936,symmetric
0.45,0.45,0.45,0.2,0.21,1268,237.6,0.0844,28916.5932,-101242.2996,130158.8928,symmetric
0.5,0.5,0.5,0.2,0.21,1268,264.0,0.0828,32129.548,-112491.444,144620.992,symmetric
0.55,0.55,0.55,0.2,0.21,1268,290.4,0.0811,35342.5028,-123740.5884,159083.0912,symmetric
0.6,0.6,0.6,0.2,0.21,1268,316.8,0.0795,38555.4576,-134989.7328,173545.1904,symmetric
0.65,0.65,0.65,0.2,0.21,1268,343.2,0.0778,41768.4124,-146238.8772,188007.2896,symmetric
0.7,0.7,0.7,0.2,0.21,1268,369.6,0.0762,44981.3672,-157488.0216,202469.3888,symmetric
0.75,0.75,0.75,0.2,0.21,1268,396.0,0.0746,48194.322,-168737.166,216931.488,symmetric
0.8,0.8,0.8,0.2,0.21,1268,422.4,0.0729,51407.2768,-179986.3104,231393.5872,symmetric
0.85,0.85,0.85,0.2,0.21,1268,448.8,0.0713,54620.2316,-191235.4548,245855.6864,symmetric
0.9,0.9,0.9,0.2,0.21,1268,475.2,0.0696,57833.1864,-202484.5992,260317.7856,symmetric
0.95,0.95,0.95,0.2,0.21,1268,501.6,0.068,61046.1412,-213733.7436,274779.8848,symmetric
1.0,1.0,1.0,0.2,0.21,1268,528.0,0.0664,64259.096,-224982.888,289241.984,symmetric
0.05,0.05,1.0,0.8333,0.65,40,1.8,0.099,-3.3408,-599486.0512,599482.7104,stayers_all
0.1,0.1,1.0,0.7143,0.55,112,10.0,0.0985,944.3936,-579775.3584,580719.752,stayers_all
0.15,0.15,1.0,0.625,0.5,148,20.4,0.0979,2821.3552,-560064.6656,562886.0208,stayers_all
0.2,0.2,1.0,0.5556,0.41,276,44.8,0.0964,5304.0496,-540353.9728,545658.0224,stayers_all
0.25,0.25,1.0,0.5,0.41,276,56.0,0.0957,7075.384,-520643.28,527718.664,stayers_all
0.3,0.3,1.0,0.4545,0.41,276,67.2,0.095,8846.7184,-500932.5872,509779.3056,stayers_all
0.35,0.35,1.0,0.4167,0.41,276,78.4,0.0943,10618.0528,-481221.8944,491839.9472,stayers_all
0.4,0.4,1.0,0.3846,0.33,428,113.6,0.0921,10679.008,-461511.2016,472190.2096,stayers_all
0.45,0.45,1.0,0.3571,0.33,428,127.8,0.0912,12760.712,-441800.5088,454561.2208,stayers_all
0.5,0.5,1.0,0.3333,0.33,428,142.0,0.0903,14842.416,-422089.816,436932.232,stayers_all
0.55,0.55,1.0,0.3125,0.26,792,222.2,0.0854,15961.8352,-402379.1232,418340.9584,stayers_all
0.6,0.6,1.0,0.2941,0.26,792,242.4,0.0841,18983.3024,-382668.4304,401651.7328,stayers_all
0.65,0.65,1.0,0.2778,0.26,792,262.6,0.0828,22004.7696,-362957.7376,384962.5072,stayers_all
0.7,0.7,1.0,0.2632,0.26,792,282.8,0.0816,25026.2368,-343247.0448,368273.2816,stayers_all
0.75,0.75,1.0,0.25,0.26,792,303.0,0.0803,28047.704,-323536.352,351584.056,stayers_all
0.8,0.8,1.0,0.2381,0.25,856,336.0,0.0783,32000.3232,-303825.6592,335825.9824,stayers_all
0.85,0.85,1.0,0.2273,0.25,856,357.0,0.077,35196.2544,-284114.9664,319311.2208,stayers_all
0.9,0.9,1.0,0.2174,0.24,888,381.6,0.0754,37907.0944,-264404.2736,302311.368,stayers_all
0.95,0.95,1.0,0.2083,0.21,1268,501.6,0.068,59294.7632,-244693.5808,303988.344,stayers_all
1.0,1.0,1.0,0.2,0.21,1268,528.0,0.0664,64259.096,-224982.888,289241.984,stayers_all
