,0
margin_gross_pow_ele,0.03175
margin_net_pow_ele,0.02725
channel_sales,0.01719
recent_cons_ratio,0.00834
net_margin_per_cons,0.0083
num_years_antig,0.00825
price_p1_fix_change,0.00813
activity_new,0.00798
origin_up,0.00659
price_p1_fix_std,0.00656
lifespan_years,0.00524
cons_last_month,0.00477
cons_per_product,0.00459
months_to_end,0.00457
price_p1_fix_mean,0.00365
price_p1_fix_max,0.00362
tenure_years,0.00313
months_to_renewal,0.00304
imp_cons,0.00304
price_p1_var_std,0.00206
forecast_cons_year,0.0018
forecast_price_pow_p1,0.00165
cons_12m,0.00165
price_energy_peak_offpeak_spread,0.00132
nb_prod_act,0.00123
has_forecast_bill,0.00119
cons_gas_12m,0.00084
forecast_meter_rent_12m,0.00071
price_p1_var_mean,0.00053
price_p1_var_min,0.00051
has_gas,0.00048
is_dual_fuel,0.00044
price_p1_var_change,0.00043
forecast_price_energy_p2,0.00035
net_margin,0.00027
forecast_discount_energy,-8e-05
forecast_cons_12m,-0.00025
forecast_bill_12m,-0.00027
forecast_base_bill_ele,-0.00031
price_p1_var_max_monthly_move,-0.00035
price_p3_var_std,-0.00036
forecast_base_bill_year,-0.00047
price_p2_var_std,-0.00064
forecast_cons,-0.00066
months_since_modif,-0.00067
price_p3_var_min,-0.00079
price_p3_fix_max,-0.00094
price_p3_var_max,-0.00097
pow_max,-0.00104
price_p1_fix_min,-0.00104
price_p3_fix_min,-0.00105
price_p3_var_mean,-0.00107
price_p1_var_max,-0.00115
price_p2_var_change,-0.00132
price_p2_fix_max,-0.00139
price_p2_var_mean,-0.00171
price_p2_fix_mean,-0.0019
price_p2_var_min,-0.00198
price_p3_var_change,-0.00205
price_p2_var_max,-0.0021
price_p2_fix_min,-0.00212
forecast_price_energy_p1,-0.00218
price_p2_fix_std,-0.00231
price_p3_fix_std,-0.00281
price_p3_fix_change,-0.00343
price_p2_fix_change,-0.00357
price_p3_fix_mean,-0.00364
