,0
margin_net_pow_ele,0.1311
margin_gross_pow_ele,0.10617
pow_max,0.08892
months_to_end,0.03338
months_to_renewal,0.03326
net_margin,0.01941
cons_last_month,0.01608
forecast_meter_rent_12m,0.01295
cons_gas_12m,0.00868
net_margin_per_cons,0.00845
channel_sales,0.00734
cons_per_product,0.00723
cons_12m,0.00645
has_forecast_bill,0.00595
recent_cons_ratio,0.00565
price_energy_peak_offpeak_spread,0.0045
price_p3_var_min,0.0042
forecast_cons_12m,0.00347
origin_up,0.00324
forecast_bill_12m,0.00323
price_p2_var_std,0.00251
price_p1_fix_std,0.00245
forecast_price_energy_p2,0.00241
price_p3_var_mean,0.00171
price_p1_var_std,0.00142
has_gas,0.00127
nb_prod_act,0.00125
months_since_modif,0.00123
price_p1_var_max_monthly_move,0.0012
price_p3_var_std,0.0008
is_dual_fuel,0.00062
forecast_price_energy_p1,0.00059
price_p2_fix_std,0.00051
price_p1_var_min,0.00048
price_p1_fix_mean,0.00034
num_years_antig,0.00027
price_p1_var_change,0.00027
price_p1_var_mean,9e-05
price_p3_fix_max,5e-05
activity_raw,0.0
price_p2_fix_max,-5e-05
tenure_years,-0.0002
forecast_price_pow_p1,-0.00022
price_p3_fix_change,-0.00024
lifespan_years,-0.00028
price_p2_fix_change,-0.00029
price_p3_fix_min,-0.00033
price_p3_fix_std,-0.00036
price_p3_var_change,-0.00038
price_p1_fix_max,-0.00038
price_p1_fix_min,-0.00043
activity_new,-0.00054
forecast_base_bill_year,-0.00065
price_p2_var_max,-0.00067
imp_cons,-0.0007
price_p2_var_change,-0.00075
price_p2_fix_min,-0.00096
price_p2_var_mean,-0.00098
forecast_discount_energy,-0.00104
price_p1_var_max,-0.00122
forecast_cons,-0.00147
price_p2_fix_mean,-0.00155
forecast_base_bill_ele,-0.00174
price_p3_var_max,-0.00174
forecast_cons_year,-0.00211
price_p1_fix_change,-0.00241
price_p3_fix_mean,-0.00283
price_p2_var_min,-0.00296
