Model,ROC_AUC,PR_AUC,Brier,F1@0.5,Precision@0.5,Recall@0.5,Accuracy@0.5,fit_seconds
Random Forest,0.6992,0.2645,0.0934,0.191,0.4298,0.1228,0.8969,5.9
LightGBM,0.6973,0.3061,0.0862,0.2677,0.518,0.1805,0.9021,0.9
XGBoost,0.6815,0.3023,0.0857,0.275,0.4783,0.193,0.8991,0.7
SVC,0.6644,0.2304,0.1942,0.253,0.1668,0.5238,0.6933,158.9
Logistic Regression,0.6424,0.1806,0.229,0.2333,0.1444,0.6065,0.6046,5.3
AdaBoost,0.6334,0.1546,0.2232,0.237,0.1846,0.3308,0.7888,4.7
KNN,0.6199,0.1501,0.2193,0.2271,0.1526,0.4436,0.7005,0.3
Naive Bayes,0.5995,0.1498,0.7503,0.1867,0.1045,0.8772,0.2423,0.2
Decision Tree,0.5562,0.1158,0.2028,0.2,0.1643,0.2556,0.7972,1.1
Dummy Classifier,0.5245,0.1039,0.4911,0.1801,0.1079,0.5439,0.5089,0.3
