config,cv_pr_mean,cv_pr_std,cv_roc_mean,delta_vs_base,t,p_raw,ci_low,ci_high,p_holm,holdout_pr_auc,holdout_roc_auc
Blend native,0.32701,0.02896,0.68853,0.00708,1.34294,0.19186,-0.0038,0.01797,1.0,0.36694,0.71339
XGB native,0.3242,0.02788,0.68362,0.00427,0.78361,0.44093,-0.00697,0.01551,1.0,0.36249,0.71341
Blend v2,0.3239,0.02828,0.68458,0.00397,1.44261,0.16205,-0.00171,0.00965,1.0,0.36345,0.71147
Blend +TE,0.32152,0.02752,0.68613,0.00159,0.36755,0.71643,-0.00734,0.01051,1.0,0.36696,0.71381
XGB v2,0.31993,0.02848,0.68078,0.0,,,0.0,0.0,,0.36023,0.71222
LGBM v2,0.31946,0.02763,0.68275,-0.00047,-0.10034,0.9209,-0.01023,0.00928,1.0,0.35542,0.70487
LGBM native,0.31781,0.02894,0.68688,-0.00212,-0.35346,0.72683,-0.01449,0.01026,1.0,0.35842,0.70736
XGB +TE,0.31734,0.02833,0.68177,-0.00259,-0.5586,0.58161,-0.01214,0.00697,1.0,0.36684,0.7152
LGBM +TE,0.31704,0.02833,0.6845,-0.00289,-0.47616,0.63827,-0.01539,0.00962,1.0,0.36124,0.70639
RF v2,0.29317,0.02882,0.69069,-0.02676,-3.18082,0.00402,-0.04413,-0.0094,0.03621,0.32013,0.72368
